epoch,train_loss,val_loss,val_auc,lr_enc,lr_probe,elapsed_s
1,0.685559,0.643681,0.676970,0.00000167,0.00003333,1127.9
2,0.651216,0.627591,0.713247,0.00000333,0.00006667,1130.1
3,0.647609,0.710843,0.744472,0.00000500,0.00010000,1131.7
4,0.585450,0.583523,0.808689,0.00000497,0.00009949,1133.0
5,0.579399,0.529651,0.800151,0.00000490,0.00009797,1131.3
6,0.565082,0.535446,0.811207,0.00000477,0.00009548,1130.1
7,0.554304,0.528127,0.816737,0.00000460,0.00009206,1130.3
8,0.536094,0.514686,0.817836,0.00000439,0.00008779,1130.1
9,0.527850,0.590007,0.822102,0.00000414,0.00008274,1130.2
10,0.509770,0.507900,0.825870,0.00000385,0.00007703,1129.8
11,0.502220,0.535481,0.826632,0.00000354,0.00007077,1127.4
12,0.511012,0.505535,0.824385,0.00000320,0.00006409,1128.7
13,0.518044,0.502261,0.822122,0.00000286,0.00005712,1129.5
14,0.479822,0.503433,0.828155,0.00000250,0.00005000,1131.3
15,0.483581,0.519764,0.823455,0.00000214,0.00004288,1128.6
16,0.472576,0.517264,0.827551,0.00000180,0.00003591,1129.3
17,0.468699,0.497850,0.826482,0.00000146,0.00002923,1128.7
18,0.450268,0.513732,0.825209,0.00000115,0.00002297,1130.3
19,0.436404,0.523003,0.821796,0.00000086,0.00001726,1129.5
